Category,Qty,Total Price,Unnamed: 3,Total Cost,Total Cost %,Total Profit,Unnamed: 7,Total Profit %,Unnamed: 9,branch,Revenue,Profit_Margin,branch_norm
BEVERAGES,143016.5,"2,344,993.40",,5337886.21,22.76,18112047.79,,77.24,,Stories Airport,23449934.0,0.7723709495301777,stories airport
FOOD,104599.5,"1,301,656.64",,4922970.38,37.82,8093596.03,,62.18,,Stories Airport,13016566.41,0.6217919361423978,stories airport
BEVERAGES,104936.1,"1,602,957.39",,3763597.16,23.48,12265976.76,,76.52,,Stories alay,16029573.92,0.7652091578489068,stories alay
FOOD,87341.95,"1,017,642.11",,3862652.79,37.96,6313768.26,,62.04,,Stories alay,10176421.05,0.6204311151217549,stories alay
BEVERAGES,96462.5,"1,313,736.34",,3080067.34,23.45,10057296.04,,76.55,,Stories Mansourieh,13137363.379999999,0.7655490488533628,stories mansourieh
FOOD,112738.9,"1,360,149.07",,4796147.77,35.26,8805342.96,,64.74,,Stories Mansourieh,13601490.73,0.6473807272153322,stories mansourieh
BEVERAGES,40001.5,"5,183,243.25",,1233876.78,23.81,3949366.47,,76.19,,Stories sin el fil,5183243.25,0.7619488956070121,stories sin el fil
FOOD,34628.5,"5,108,435.45",,1884112.13,36.88,3224323.32,,63.12,,Stories sin el fil,5108435.449999999,0.6311762870567348,stories sin el fil
BEVERAGES,39279.0,"5,208,679.29",,1220181.77,23.43,3988497.51,,76.57,,Stories amioun,5208679.279999999,0.7657406600776542,stories amioun
FOOD,33133.7,"4,538,748.36",,1671637.41,36.83,2867110.96,,63.17,,Stories amioun,4538748.37,0.63169638990143,stories amioun
BEVERAGES,20643.5,"2,837,797.01",,686283.32,24.18,2151513.69,,75.82,,Stories raouche,2837797.01,0.7581633508028822,stories raouche
FOOD,16050.27,"1,716,003.31",,646728.98,37.69,1069274.33,,62.31,,Stories raouche,1716003.31,0.6231190369906687,stories raouche
BEVERAGES,11729.0,"1,532,018.62",,360533.95,23.53,1171484.68,,76.47,,Stories kaslik,1532018.63,0.7646673852784676,stories kaslik
FOOD,10532.5,"1,287,430.03",,484560.79,37.64,802869.25,,62.36,,Stories kaslik,1287430.04,0.6236216532589219,stories kaslik
